date,secid,name,price_pct,ytm_bare,ytm_net,spread_bp
2026-08-11,SU26240RMFS0,ОФЗ 26240,60.1,16.39,15.23,
2026-08-11,SU29010RMFS4,ОФЗ 29010,104.36,16.22,14.96,
2026-08-11,SU29009RMFS6,ОФЗ 29009,103.96,16.46,14.88,
2026-08-11,SU26254RMFS1,ОФЗ 26254,88.1,15.6,14.84,
2026-08-11,SU26247RMFS5,ОФЗ 26247,84.2,15.62,14.76,
2026-08-11,SU26248RMFS3,ОФЗ 26248,84.25,15.53,14.73,
2026-08-11,SU26253RMFS3,ОФЗ 26253,88.67,15.61,14.7,
2026-08-11,SU26243RMFS4,ОФЗ 26243,71.39,15.61,14.65,
2026-08-11,SU26250RMFS9,ОФЗ 26250,83.83,15.63,14.6,
2026-08-11,SU26230RMFS1,ОФЗ 26230,59.39,15.49,14.58,
2026-08-11,SU29008RMFS8,ОФЗ 29008,102.93,16.55,14.58,
2026-08-11,SU26238RMFS4,ОФЗ 26238,54.5,15.27,14.5,
2026-08-11,SU26246RMFS7,ОФЗ 26246,84.78,15.6,14.46,
2026-08-11,SU26245RMFS9,ОФЗ 26245,85.01,15.63,14.45,
2026-08-11,SU26244RMFS2,ОФЗ 26244,83.26,15.57,14.23,
2026-08-11,SU26252RMFS5,ОФЗ 26252,89.25,15.54,14.17,
2026-08-11,SU26225RMFS1,ОФЗ 26225,65.37,15.48,14.15,
2026-08-11,SU26233RMFS5,ОФЗ 26233,57.9,15.25,14.03,
2026-08-11,SU26221RMFS0,ОФЗ 26221,70.67,15.33,13.89,
2026-08-11,SU26249RMFS1,ОФЗ 26249,85.41,15.34,13.84,
2026-08-11,SU26241RMFS8,ОФЗ 26241,78.92,15.29,13.83,
2026-08-11,SU46020RMFS2,ОФЗ 46020,67.99,14.57,13.47,
2026-08-11,SU26218RMFS6,ОФЗ 26218,78.95,14.98,13.41,
2026-08-11,SU29007RMFS0,ОФЗ 29007,100.94,16.1,13.37,
2026-08-11,SU26239RMFS2,ОФЗ 26239,74.03,14.93,13.34,
2026-08-11,SU26235RMFS0,ОФЗ 26235,72.03,14.96,13.32,
